source_repo,source_branch,source_tree_sha,source_path,source_blob_sha,source_size,target_repo,target_path,migration_action,status
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/.env.example","f933b5465bc8caf5af8f4d832ba5e43f29786177","117","Sas-Executar/next-forge","apps/admin/.env.example","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/.gitignore","93c7f258fec9910d9fbe4a34f1a7b271b186a15a","538","Sas-Executar/next-forge","apps/admin/.gitignore","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/AGENTS.md","643577dfaef36ee8032915ef80a0f0638f7beda0","678","Sas-Executar/next-forge","apps/admin/AGENTS.md","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/CLAUDE.md","43c994c2d3617f947bcb5adf1933e21dabe46bb5","11","Sas-Executar/next-forge","apps/admin/CLAUDE.md","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/README.md","93cc7a8fe3f121b90a409b5b0a72ad226c1b6c41","3901","Sas-Executar/next-forge","apps/admin/README.md","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/next.config.ts","f4f9745a6f2cb6b9ad0381aa29e9ff6205f2db4a","1202","Sas-Executar/next-forge","apps/admin/next.config.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/package.json","dd9a9614e6f072d515d3b84811fa66952a02b222","1430","Sas-Executar/next-forge","apps/admin/package.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(frontend)/layout.tsx","e7681f7d694af7d4c00347c46b4b76346ef0087f","400","Sas-Executar/next-forge","apps/admin/src/app/(frontend)/layout.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(frontend)/page.tsx","3d630f4103cbbce16a658c0ef1e3317ff78ef4e5","1814","Sas-Executar/next-forge","apps/admin/src/app/(frontend)/page.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(frontend)/styles.css","d1fb9419d6f8cc7ab99128c21560704ba73927e2","2328","Sas-Executar/next-forge","apps/admin/src/app/(frontend)/styles.css","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/admin/[[...segments]]/not-found.tsx","64108365fd93c489ee4e0fe470149fbbd0fe97dc","731","Sas-Executar/next-forge","apps/admin/src/app/(payload)/admin/[[...segments]]/not-found.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/admin/[[...segments]]/page.tsx","0de685cd62bc11f8bdac9a4c9ab5d6c6512ce040","715","Sas-Executar/next-forge","apps/admin/src/app/(payload)/admin/[[...segments]]/page.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/admin/importMap.js","9f649f43abb63b3ca7640c411da6a4e8744e2636","6383","Sas-Executar/next-forge","apps/admin/src/app/(payload)/admin/importMap.js","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/api/[...slug]/route.ts","e58c50f50cade6ac8c5c1ce655ac82057a2d8158","550","Sas-Executar/next-forge","apps/admin/src/app/(payload)/api/[...slug]/route.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/api/graphql-playground/route.ts","17d2954ca2d252da6bc2067556593bec90809f7f","305","Sas-Executar/next-forge","apps/admin/src/app/(payload)/api/graphql-playground/route.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/api/graphql/route.ts","2069ff86b0aafd09869166fd118fe23868325c98","315","Sas-Executar/next-forge","apps/admin/src/app/(payload)/api/graphql/route.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/admin/src/app/(payload)/custom.scss","e69de29bb2d1d6434b8b29ae775ad8c2e48c5391","0","Sas-Executar/next-forge","apps/admin/src/app/(payload)/custom.scss","REFERENCE","RECONCILIATION_REQUIRED"
